setName,gene,Direction
Kim_Ent_Prec,Mad2l1,1
Kim_Ent_Prec,Ddx21,1
Kim_Ent_Prec,Rev1,1
Kim_Ent_Prec,Htra2,1
Kim_Ent_Prec,Zc3h8,1
Kim_Ent_Prec,Mogs,1
Kim_Ent_Prec,Tyms,1
Kim_Ent_Prec,Noc3l,1
Kim_Ent_Prec,Snrpa1,1
Kim_Ent_Prec,Nup160,1
Kim_Ent_Prec,Eed,1
Kim_Ent_Prec,Qtrt1,1
Kim_Ent_Prec,Gtf2h2,1
Kim_Ent_Prec,Polr1e,1
Kim_Ent_Prec,Glrx3,1
Kim_Ent_Prec,Pbk,1
Kim_Ent_Prec,Cdc20,1
Kim_Ent_Prec,Ccnh,1
Kim_Ent_Prec,Pus3,1
Kim_Ent_Prec,Cad,1
Kim_Ent_Prec,Cse1l,1
Kim_Ent_Prec,Ipo5,1
Kim_Ent_Prec,Kdelc1,1
Kim_Ent_Prec,Ccdc86,1
Kim_Ent_Prec,Asf1b,1
Kim_Ent_Prec,Rpl4,1
Kim_Ent_Prec,Zfp593,1
Kim_Ent_Prec,Rexo2,1
Kim_Ent_Prec,Mtap,1
Kim_Ent_Prec,Lyar,1
Kim_Ent_Prec,Tipin,1
Kim_Ent_Prec,Mrps22,1
Kim_Ent_Prec,Rsl1d1,1
Kim_Ent_Prec,Polr2e,1
Kim_Ent_Prec,Zwint,1
Kim_Ent_Prec,Farsa,1
Kim_Ent_Prec,Atpbd4,1
Kim_Ent_Prec,Rrp8,1
Kim_Ent_Prec,Ccdc43,1
Kim_Ent_Prec,Rpp14,1
Kim_Ent_Prec,Ssr1,1
Kim_Ent_Prec,Cdt1,1
Kim_Ent_Prec,Rplp2,1
Kim_Ent_Prec,Zmynd19,1
Kim_Ent_Prec,Nudcd2,1
Kim_Ent_Prec,Srfbp1,1
Kim_Ent_Prec,Rrp15,1
Kim_Ent_Prec,Eri1,1
Kim_Ent_Prec,Hat1,1
Kim_Ent_Prec,Ergic1,1
Kim_Ent_Prec,2610029G23Rik,1
Kim_Ent_Prec,Brix1,1
Kim_Ent_Prec,Mak16,1
Kim_Ent_Prec,Wdr55,1
Kim_Ent_Prec,Ddx56,1
Kim_Ent_Prec,Ncbp2,1
Kim_Ent_Prec,Fam92a,1
Kim_Ent_Prec,Ggct,1
Kim_Ent_Prec,Fam111a,1
Kim_Ent_Prec,Zmym1,1
Kim_Ent_Prec,Ube2c,1
Kim_Ent_Prec,Ebna1bp2,1
Kim_Ent_Prec,Dtwd1,1
Kim_Ent_Prec,Gtpbp4,1
Kim_Ent_Prec,Rfc3,1
Kim_Ent_Prec,Trip13,1
Kim_Ent_Prec,Mcm10,1
Kim_Ent_Prec,Rpf1,1
Kim_Ent_Prec,Steap1,1
Kim_Ent_Prec,Wdr77,1
Kim_Ent_Prec,Eri2,1
Kim_Ent_Prec,Pnpt1,1
Kim_Ent_Prec,Cyb5r1,1
Kim_Ent_Prec,2700029M09Rik,1
Kim_Ent_Prec,Dis3,1
Kim_Ent_Prec,Tdp1,1
Kim_Ent_Prec,Tmem48,1
Kim_Ent_Prec,3110003A17Rik,1
Kim_Ent_Prec,Tmed5,1
Kim_Ent_Prec,Pwp2,1
Kim_Ent_Prec,Dtl,1
Kim_Ent_Prec,Ola1,1
Kim_Ent_Prec,Uck2,1
Kim_Ent_Prec,Cela1,1
Kim_Ent_Prec,Sfxn2,1
Kim_Ent_Prec,Fubp1,1
Kim_Ent_Prec,Nup155,1
Kim_Ent_Prec,Krtap19-9b,1
Kim_Ent_Prec,Tspan1,1
Kim_Ent_Prec,Pycr2,1
Kim_Ent_Prec,St13,1
Kim_Ent_Prec,Prmt3,1
Kim_Ent_Prec,Fam98a,1
Kim_Ent_Prec,Ncapg2,1
Kim_Ent_Prec,Ube2s,1
Kim_Ent_Prec,Nmd3,1
Kim_Ent_Prec,Zfp451,1
Kim_Ent_Prec,Rpn1,1
Kim_Ent_Prec,Rpp25,1
Kim_Ent_Prec,Ankrd32,1
Kim_Ent_Prec,Dnajc9,1
Kim_Ent_Prec,Lars,1
Kim_Ent_Prec,Wdr74,1
Kim_Ent_Prec,Gfm1,1
Kim_Ent_Prec,Mthfd1,1
Kim_Ent_Prec,Kif18a,1
Kim_Ent_Prec,Thyn1,1
Kim_Ent_Prec,Ncaph,1
Kim_Ent_Prec,Utp6,1
Kim_Ent_Prec,Exosc2,1
Kim_Ent_Prec,Prc1,1
Kim_Ent_Prec,Nsun2,1
Kim_Ent_Prec,Eif2b1,1
Kim_Ent_Prec,Casd1,1
Kim_Ent_Prec,Rfc4,1
Kim_Ent_Prec,Mat2a,1
Kim_Ent_Prec,Fam176a,1
Kim_Ent_Prec,Pdk3,1
Kim_Ent_Prec,Nup43,1
Kim_Ent_Prec,Osgin2,1
Kim_Ent_Prec,BC027231,1
Kim_Ent_Prec,2310008H04Rik,1
Kim_Ent_Prec,Haus1,1
Kim_Ent_Prec,Haus3,1
Kim_Ent_Prec,Paip2b,1
Kim_Ent_Prec,Ercc6l,1
Kim_Ent_Prec,Rbm17,1
Kim_Ent_Prec,Ddx27,1
Kim_Ent_Prec,Yrdc,1
Kim_Ent_Prec,Noc4l,1
Kim_Ent_Prec,Polr2b,1
Kim_Ent_Prec,Ppat,1
Kim_Ent_Prec,Ccnb1,1
Kim_Ent_Prec,Tex10,1
Kim_Ent_Prec,Nup93,1
Kim_Ent_Prec,Haus6,1
Kim_Ent_Prec,Slc41a1,1
Kim_Ent_Prec,Rif1,1
Kim_Ent_Prec,Rg9mtd2,1
Kim_Ent_Prec,Topbp1,1
Kim_Ent_Prec,Tsr1,1
Kim_Ent_Prec,Pus7,1
Kim_Ent_Prec,Krr1,1
Kim_Ent_Prec,Tmem209,1
Kim_Ent_Prec,Slc7a6,1
Kim_Ent_Prec,Ltv1,1
Kim_Ent_Prec,Rnmtl1,1
Kim_Ent_Prec,Ddx39,1
Kim_Ent_Prec,Trim37,1
Kim_Ent_Prec,Rrp12,1
Kim_Ent_Prec,Mms22l,1
Kim_Ent_Prec,BC048355,1
Kim_Ent_Prec,Gas5,1
Kim_Ent_Prec,Snord22,1
Kim_Ent_Prec,1810032O08Rik,1
Kim_Ent_Prec,5730408K05Rik,1
Kim_Ent_Prec,2010204K13Rik,1
Haber_Pan,Gm15284,1
Haber_Pan,Gm14851,1
Haber_Pan,Defa21,1
Haber_Pan,Defa22,1
Haber_Pan,AY761184,1
Haber_Pan,Defa24,1
Haber_Pan,Defa17,1
Haber_Pan,Lyz1,1
Haber_Pan,Defa-rs1,1
Haber_Pan,Defa3,1
Haber_Pan,Mptx2,1
Haber_Pan,Ang4,1
Haber_Pan,Defa26,1
Haber_Pan,Gm15292,1
Haber_Gob,Agr2,1
Haber_Gob,Spink4,1
Haber_Gob,Fcgbp,1
Haber_Gob,Tff3,1
Haber_Gob,Muc2,1
Haber_Gob,Zg16,1
Haber_Gob,Clca1,1
Haber_Gob,Ccl6,1
Haber_Gob,Klk1,1
Haber_Gob,Tpsg1,1
Haber_Gob,Ccl9,1
Haber_Gob,Txndc5,1
Haber_Gob,Smim14,1
Haber_Gob,Tspan13,1
Haber_Gob,Atoh1,1
Haber_Gob,Lrrc26,1
Haber_Gob,Ramp1,1
Haber_Gob,Galnt12,1
Haber_Gob,Mmp7,1
Haber_Gob,Qsox1,1
Haber_Gob,Fkbp11,1
Haber_Gob,Rep15,1
Haber_Gob,Tmsb10,1
Haber_Gob,Pla2g10,1
Haber_Gob,Tsta3,1
Haber_Gob,Pdia6,1
Haber_Gob,Sdf2l1,1
Haber_Gob,S100a6,1
Haber_Gob,Manf,1
Haber_Gob,Slc12a8,1
Haber_Gob,Creb3l1,1
Haber_Gob,Sh3bgrl3,1
Haber_Gob,Spdef,1
Haber_Gob,Tpd52,1
Haber_Gob,Pdia5,1
Haber_Gob,Cmpk1,1
Haber_Gob,Serp1,1
Haber_Gob,Tmed3,1
Haber_Gob,Selm,1
Haber_Gob,Creb3l4,1
Haber_Gob,Smim6,1
Haber_Gob,Krtcap2,1
Haber_Gob,Bace2,1
Haber_Gob,Stard3nl,1
Haber_Gob,Bcas1,1
Haber_Gob,Nans,1
Haber_Gob,C1galt1c1,1
Haber_Gob,Xbp1,1
Haber_Gob,Hpd,1
Haber_Gob,Slc50a1,1
Haber_Gob,Guk1,1
Haber_Gob,Tmed9,1
Haber_Gob,Ssr4,1
Haber_Gob,Hgfac,1
Haber_Gob,Ostc,1
Haber_Gob,Creld2,1
Haber_Gob,Sec61b,1
Haber_Gob,Gale,1
Haber_Gob,Kdelr2,1
Haber_Gob,Ssr2,1
Haber_Gob,Ern2,1
Haber_Gob,Ergic1,1
Haber_Gob,AW112010,1
Haber_Gob,Gcnt3,1
Haber_Gob,Guca2a,1
Haber_Gob,Klf4,1
Haber_Gob,15-Sep,1
Haber_Gob,Galnt7,1
Haber_Gob,Uap1,1
Haber_Gob,Dnajc10,1
Haber_Gob,Ddost,1
Haber_Gob,Oit1,1
Haber_Gob,Foxa3,1
Haber_Gob,Tm9sf3,1
Haber_Gob,Cracr2b,1
Haber_Gob,Vimp,1
Haber_Gob,Capn9,1
Haber_Gob,Scin,1
Haber_Gob,Pdia3,1
Haber_Gob,Rnase1,1
Haber_Gob,Calr,1
Haber_Gob,Wars,1
Haber_Gob,Snhg18,1
Haber_Gob,Dap,1
Haber_Gob,Ttc39a,1
Haber_Gob,Dad1,1
Haber_Gob,Tnfaip8,1
Haber_Gob,Tram1,1
Haber_Gob,Kdelr3,1
Haber_Gob,Arf4,1
Haber_Gob,Cmtm7,1
Haber_EE,Chgb,1
Haber_EE,Chga,1
Haber_EE,Gfra3,1
Haber_EE,Cpe,1
Haber_EE,Tac1,1
Haber_EE,Fam183b,1
Haber_EE,Hmgn3,1
Haber_EE,Cck,1
Haber_EE,Fev,1
Haber_EE,Gch1,1
Haber_EE,Pcsk1n,1
Haber_EE,Bex2,1
Haber_EE,Neurog3,1
Haber_EE,Ngfrap1,1
Haber_EE,Vwa5b2,1
Haber_EE,Resp18,1
Haber_EE,Sct,1
Haber_EE,Aplp1,1
Haber_EE,Scgn,1
Haber_EE,Neurod1,1
Haber_EE,Nkx2-2,1
Haber_EE,Insm1,1
Haber_EE,Vim,1
Haber_EE,Rbp4,1
Haber_EE,Isl1,1
Haber_EE,Ddc,1
Haber_EE,Mtch1,1
Haber_EE,Tph1,1
Haber_EE,Cldn4,1
Haber_EE,Scg5,1
Haber_EE,Maged1,1
Haber_EE,Rprml,1
Haber_EE,Cryba2,1
Haber_EE,Rph3al,1
Haber_EE,Celf3,1
Haber_EE,Cacna1a,1
Haber_EE,Trp53i11,1
Haber_EE,Gpx3,1
Haber_EE,Pcsk1,1
Haber_EE,Fabp5,1
Haber_EE,Fxyd6,1
Haber_EE,Cplx2,1
Haber_EE,Cdkn1c,1
Haber_EE,Rundc3a,1
Haber_EE,Pycr2,1
Haber_EE,Myl7,1
Haber_EE,Ffar2,1
Haber_EE,Prnp,1
Haber_EE,Rimbp2,1
Haber_EE,Slc25a4,1
Haber_EE,Bambi,1
Haber_EE,Itm2c,1
Haber_EE,Cacna2d1,1
Haber_EE,Fgd2,1
Haber_EE,Gadd45a,1
Haber_EE,Cited2,1
Haber_EE,Olfm1,1
Haber_EE,Slc39a2,1
Haber_EE,Ptov1,1
Haber_EE,Rab3c,1
Haber_EE,Tox3,1
Haber_EE,Cdkn1a,1
Haber_EE,Anxa6,1
Haber_EE,Krt7,1
Haber_EE,Btg2,1
Haber_EE,Cnot6l,1
Haber_EE,Riiad1,1
Haber_EE,Marcksl1,1
Haber_EE,Pax6,1
Haber_EE,Wbp5,1
Haber_EE,Scg3,1
Haber_EE,Nisch,1
Haber_EE,Gstz1,1
Haber_EE,Bax,1
Haber_EE,Gm43861,1
Haber_EE,Slc18a1,1
Haber_EE,Gng4,1
Haber_Tuft,Lrmp,1
Haber_Tuft,Alox5ap,1
Haber_Tuft,Rgs13,1
Haber_Tuft,Sh2d6,1
Haber_Tuft,Ltc4s,1
Haber_Tuft,Avil,1
Haber_Tuft,Hck,1
Haber_Tuft,Dclk1,1
Haber_Tuft,Snrnp25,1
Haber_Tuft,Cd24a,1
Haber_Tuft,Trpm5,1
Haber_Tuft,Kctd12,1
Haber_Tuft,Aldh2,1
Haber_Tuft,Il13ra1,1
Haber_Tuft,Gng13,1
Haber_Tuft,Tmem176a,1
Haber_Tuft,Skap2,1
Haber_Tuft,Ptpn6,1
Haber_Tuft,Ly6g6f,1
Haber_Tuft,Fyb,1
Haber_Tuft,Adh1,1
Haber_Tuft,Tmem176b,1
Haber_Tuft,Hpgds,1
Haber_Tuft,Reep5,1
Haber_Tuft,Ptpn18,1
Haber_Tuft,Spib,1
Haber_Tuft,Bpgm,1
Haber_Tuft,Galk1,1
Haber_Tuft,Matk,1
Haber_Tuft,Tuba1a,1
Haber_Tuft,1810046K07Rik,1
Haber_Tuft,Hmx2,1
Haber_Tuft,Ccdc28b,1
Haber_Tuft,Ethe1,1
Haber_Tuft,Limd2,1
Haber_Tuft,Sh2d7,1
Haber_Tuft,Ccdc109b,1
Haber_Tuft,Tspan6,1
Haber_Tuft,Smpx,1
Haber_Tuft,Vav1,1
Haber_Tuft,Ly6g6d,1
Haber_Tuft,Pik3r5,1
Haber_Tuft,Nebl,1
Haber_Tuft,Plcg2,1
Haber_Tuft,Rbm38,1
Haber_Tuft,Vdac3,1
Haber_Tuft,Krt18,1
